Name: Carbon-Epoxy -15°
Type: Anisotropic Elastic Medium with complex stiffnesses
Density [mg/mm³]: 1.420000
Stiffnesses [GPa]
c11: 1.0175383e+02+2.5438458e+00j
c12: 9.8125000e+00+2.4531250e-01j
c13: 3.6000000e+00+9.0000000e-02j
c14: 0.0000000e+00
c15: 0.0000000e+00
c16: -2.3885366e+01-5.9713414e-01j
c22: 1.0821166e+01+2.7052916e-01j
c23: 3.6000000e+00+9.0000000e-02j
c24: 0.0000000e+00
c25: 0.0000000e+00
c26: -2.3646344e+00-5.9115859e-02j
c33: 1.0000000e+01+2.5000000e-01j
c34: 0.0000000e+00
c35: 0.0000000e+00
c36: 0.0000000e+00+3.7252903e-18j
c44: 3.0138784e+00+7.5346960e-02j
c45: -4.2500000e-01-1.0625000e-02j
c46: 0.0000000e+00
c55: 4.4861216e+00+1.1215304e-01j
c56: 0.0000000e+00
c66: 1.0812500e+01+2.7031250e-01j
